"MouseID","Batch","Tester","TestAge","Weight","score","CFI_norm","CFI","Sex","center_time_secs","periphery_time_secs","corner_time_secs","center_distance_cm","periphery_distance_cm","corner_distance_cm","grooming_number_bouts","grooming_duration_secs","avg_angular_velocity","avg_base_tail_lateral_displacement","avg_limb_duty_factor","avg_nose_lateral_displacement","avg_speed_cm_per_sec","avg_step_length1","avg_step_length2","avg_step_width","avg_stride_length","avg_tip_tail_lateral_displacement","median_angular_velocity","median_base_tail_lateral_displacement","median_limb_duty_factor","median_nose_lateral_displacement","median_speed_cm_per_sec","median_step_length1","median_step_length2","median_step_width","median_stride_length","median_tip_tail_lateral_displacement","stride_count","Distance.cm.sc","angular_velocity_iqr","base_tail_lateral_displacement_iqr","limb_duty_factor_iqr","nose_lateral_displacement_iqr","speed_cm_per_sec_iqr","step_length1_iqr","step_length2_iqr","step_width_iqr","stride_length_iqr","tip_tail_lateral_displacement_iqr","dAC_mean","dAC_median","dB_mean","dB_median","aABC_mean","aABC_median","median_width","median_length","median_rearpaw","rear_count","rears_0_5","dAC_nongait_mean","dAC_nongait_median","dAC_nongait_stdev","dB_nongait_mean","dB_nongait_median","dB_nongait_stdev","aABC_nongait_mean","aABC_nongait_median","aABC_nongait_stdev"
"AgedB6-0308","Batch1","Scorer1",75,50.74,3.5,0.160714286,4.5,1,1032.98898,2688.60326,1032.51712,5118.3929,14522.3915,4548.73905,4,25.923,-0.029887777,0.218433025,0.593918266,0.17236707,14.74606631,2.140751686,3.087090439,3.264734676,4.301708099,0.642890009,1.227764996,0.223079593,0.590909091,0.133211361,14.30423138,2.106564148,3.001500789,3.388624914,4.763642863,0.659143381,1248,5.028698914,42.04714597,0.093570815,0.181818182,0.128679874,5.039342709,1.767657616,2.085834417,0.564136111,2.640537381,0.33031063,0.722286041,0.724490771,0.415733195,0.353553391,161.7514687,165.3236069,3.819408417,6.718566895,2.906888371,214,28,0.10979091,0.110910107,0.029222664,1.211861075,1.140175425,1.477155249,155.4288681,159.5277205,19.74855086
"AgedB6-0318","Batch1","Scorer1",75,43.05,1.5,0.089285714,2.5,-1,611.77118,3109.8212,1169.90278,4823.4463,22331.101,6912.4639,6,29.98138,-3.434667076,0.17823932,0.577212396,0.1565801,18.22968882,2.466015455,2.660499004,3.278100841,4.817205387,0.487692075,-3.356945708,0.168977285,0.571428571,0.114968397,17.9189772,2.47153439,2.623813353,3.318180773,4.963049082,0.471929577,1988,6.802750051,39.80300277,0.078406779,0.166666667,0.119939321,7.172533244,1.666810317,1.547466599,0.39804895,1.821164608,0.263563395,0.700596736,0.708016634,0.367893977,0.3,163.8739394,168.3174035,3.795165634,6.960224152,2.765863337,244,23,0.113754517,0.112563657,0.053175767,1.297339417,1.118033989,2.333614828,158.3313749,163.8791443,20.54408574
"AgedB6-0541","Batch1","Scorer3",42,24.97,2,0.080357143,2.25,1,776.8733,2944.8131,1209.91998,5983.44654,19353.5685,6174.6642,16,137.35434,2.719104351,0.190185889,0.620478002,0.160647903,17.47578831,2.189564217,2.419614565,2.605209577,4.527541838,0.492185449,2.115741786,0.180643878,0.625,0.117215943,17.18510271,2.241120662,2.471667528,2.618855212,4.588213361,0.476541077,1982,6.245842326,40.67348089,0.067400165,0.131944444,0.12216647,6.159564045,1.306555158,1.157230426,0.320399597,1.560421647,0.217242474,0.653911014,0.668120289,0.357290147,0.3,161.4813976,166.8223887,3.184995937,5.951865768,2.236067977,229,24,0.100328941,0.097556502,0.068072483,1.332112381,1.063014581,2.963981124,153.5911225,159.9812396,25.62807045
"AgedB6-0420","Batch1","Scorer3",55,49,6.5,0.267857143,7.5,-1,834.833907,2886.8837,975.10747,4769.57975,11941.8689,3280.09282,6,68.20147,1.148658868,0.178911309,0.574679208,0.162511107,13.4790887,2.528999361,2.263786557,3.020297918,3.750983736,0.468843709,0.902734841,0.174143069,0.583333333,0.136154992,13.3725913,2.494439846,1.768099646,3.142785431,3.888183869,0.463084491,883,4.360962684,45.34738015,0.092656478,0.166666667,0.129299618,4.080695694,1.925963365,2.254322707,0.742326208,2.505264264,0.320956573,0.703184534,0.707671466,0.439008216,0.360555128,160.4707958,165.6750491,3.798387146,6.585736084,2.707397274,147,14,0.116678812,0.116204582,0.04700677,1.348463151,1.204159458,1.673353253,154.4600489,160.8141894,23.37365635
"AgedB6-0426","Batch1","Scorer3",55,41.47,4,0.178571429,5,-1,1016.630021,2705.6859,973.78112,5964.727982,13700.6897,4057.40682,5,77.17136,-4.075538191,0.177813287,0.639609196,0.150847663,16.04916784,2.490995373,2.557006212,2.973630991,4.751793571,0.469626182,-2.56612993,0.169435763,0.636363636,0.116199054,15.59300897,2.555744354,2.512647436,2.986941893,4.929728141,0.447597222,975,4.869627317,33.48747696,0.069453843,0.151785714,0.109562684,5.862548524,1.643742493,1.807234248,0.422692336,2.108163136,0.288291017,0.708497848,0.720413942,0.410558828,0.335410197,161.0111346,165.7258186,3.572647476,6.808963013,2.6,167,18,0.114736764,0.116159614,0.030409062,1.262772286,1.15,1.609348318,155.8913308,161.647729,22.0790436
"AgedB6-0521","Batch1","Scorer3",42,29.08,1,0.0625,1.75,1,596.2927,3126.432,1435.29956,4475.0378,19440.2462,6330.1054,5,48.95172,-5.061466823,0.193893008,0.598706675,0.162711618,17.54183983,2.552673658,2.436891605,2.734942918,4.898134934,0.494907967,-4.502959057,0.187510302,0.590909091,0.127936348,17.23503412,2.600325,2.487048765,2.749353465,4.991545328,0.477601864,1498,5.766953859,38.83358395,0.072374511,0.130265568,0.116006062,6.111790167,1.181003614,1.410509456,0.350104919,1.743184405,0.240194903,0.653889554,0.660096802,0.359193468,0.3,162.3635681,166.9688425,3.211311531,6.368659019,2.334523506,181,16,0.107627281,0.106709679,0.040351927,1.281465707,1.123610253,2.158886965,155.5434774,161.3040244,21.87647852
"AgedB6-0528","Batch1","Scorer3",42,45.94,2,0.107142857,3,1,718.951807,3002.70007,1345.644464,5054.1136,17573.707,5732.158239,11,178.3115,-2.74948275,0.1887444,0.576759125,0.145295688,17.32572935,2.123531982,3.077298637,3.048608561,4.904792003,0.509888203,-0.604045325,0.185733543,0.571428571,0.111382618,17.1194212,2.108321562,3.126039291,3.098096222,5.185887978,0.513879081,1267,5.913800607,35.04331974,0.067351025,0.15,0.102546378,5.626044176,1.562313808,1.892393156,0.406957291,1.901753688,0.233001529,0.708198768,0.716585632,0.418043739,0.335410197,161.2408519,166.5347919,3.589648438,6.696984863,2.617250466,203,22,0.111977899,0.113691044,0.053752295,1.235419092,1.092016483,2.183423534,154.220868,161.0753556,25.90439795
"AgedB6-0737","Batch1","Scorer4",29,26.89,2.5,0.107142857,3,1,711.010358,2950.9145,1060.0923,3111.22202,11271.3048,3646.67747,10,172.80586,3.964205183,0.21266896,0.61211646,0.160200155,18.67449278,2.640723175,2.951060091,2.504553934,5.464708273,0.54967911,2.461522469,0.203513992,0.611111111,0.113462045,18.50993639,2.768811173,2.991403797,2.519293245,5.565241582,0.543488338,711,3.624578943,34.20500574,0.067722457,0.131818182,0.119972348,6.907773247,1.374287734,1.384114526,0.378919622,1.810771975,0.265454846,0.508745217,0.498143871,0.353614262,0.3,159.1023627,164.0546041,3.105431175,5.377778625,2.163330765,158,27,0.078639941,0.072510181,0.054074763,1.502729104,1.140175425,3.090167367,148.7887801,155.3207289,28.07218401
"AgedB6-0744","Batch1","Scorer4",29,40.43,4,0.178571429,5,-1,851.917914,2809.70633,1249.548433,4607.627247,13455.4303,4570.99442,8,170.43687,-4.214790048,0.174846087,0.593760067,0.137319386,19.91259795,2.529362705,2.562711906,2.810323649,4.980311266,0.494333586,-3.972015848,0.171121665,0.590909091,0.109959087,19.49898872,2.618690317,2.600325,2.832212052,5.078334836,0.471235961,1047,4.734988754,35.70157789,0.067138418,0.166666667,0.086365572,7.748505944,1.279251145,1.53800724,0.335895958,1.810300331,0.274273815,0.617039708,0.618488306,0.43910388,0.353553391,154.9831846,162.6459754,3.338842773,6.106243706,2.340939982,221,31,0.096203295,0.092841328,0.062197611,1.541561589,1.201041215,2.964690794,147.8992995,156.7832701,31.39169878
"AgedB6-0738","Batch1","Scorer4",29,27.55,2,0.089285714,2.5,1,1328.9647,2333.04212,893.87296,6455.5024,13125.66965,4312.456902,11,116.93682,0.041970599,0.181572461,0.621403233,0.163925643,18.08021738,2.521098404,2.408046774,2.554728135,4.811252204,0.500376251,0.318734255,0.172698388,0.611111111,0.12335023,18.12561446,2.601624441,2.44246504,2.589069005,4.953,0.48880734,948,4.751874727,44.11371562,0.069559044,0.131944444,0.123514669,7.219037797,1.256388302,1.384369966,0.341865369,1.676600541,0.240481909,0.556349332,0.564131621,0.345081082,0.291547595,161.0088889,166.7419825,3.05772438,5.800782394,2.236067977,185,28,0.090062744,0.086482903,0.054452136,1.572755497,1.110180166,3.930031809,153.8908384,161.7289127,28.72342373
"AgedB6-0747","Batch1","Scorer4",28,36.3,4.5,0.1875,5.25,-1,726.0654,2996.87966,1179.68722,2966.28203,11199.7701,3845.02931,16,215.46966,-4.817780905,0.185013515,0.610683509,0.146718129,18.21362046,2.422961436,2.784476945,2.849922893,5.108301047,0.522377479,-4.407482047,0.178673541,0.6,0.107568208,17.5269588,2.518810566,2.897610831,2.861422805,5.219778216,0.50565696,751,3.471087169,32.49741647,0.069504876,0.136363636,0.103538133,7.41855045,1.377890496,1.265440874,0.340867456,1.834914108,0.255472836,0.635684573,0.634115523,0.447212172,0.353553391,155.6198921,161.9680629,3.33143692,6.057133102,2.4,139,19,0.103860304,0.103357768,0.051422134,1.381356884,1.123610253,2.680784122,148.6007289,156.44838,30.39352996
